uvrstitev,rezultat [s],ime tekmovalke,datum rojstva,država,pozicija,datum dogodka,skupne točke,kontinent
3314,7.88,Nesrine CHAROUEL,,USA,2h3,24 FEB 2024,932,Severna in Srednja Amerika
3314,7.88,Brianna ANDREWS,2000,CAN,1,01 MAR 2024,932,Severna in Srednja Amerika
3314,7.88,Sian O'SULLIVAN,2001,AUS,5f1,01 MAR 2024,933,Oceanija
3314,7.88,Rebeka ŽIBRITOVÁ,28 JAN 2005,SVK,4,02 MAR 2024,932,Evropa
3314,7.88,Yuting XIA,19 MAY 2007,CHN,4h4,03 MAR 2024,932,Azija
3314,7.88,Laura Ann COSTELLO,11 JUL 1997,IRL,2,09 MAR 2024,932,Evropa
3314,7.88,Amirah COWARD,,USA,6h1,09 MAR 2024,932,Severna in Srednja Amerika
3314,7.88,Gabriela MANZANO,,USA,6h6,09 MAR 2024,932,Severna in Srednja Amerika
3314,7.88,Le CHANG,04 JUL 2006,CHN,4h3,16 MAR 2024,932,Azija
3314,7.88,Yuyu PANG,04 FEB 2000,CHN,4h4,16 MAR 2024,932,Azija
3314,7.88,Sara KENNEDY,,GBR,1,17 MAR 2024,932,Evropa
3314,7.88,Aisling PHELAN,,IRL,2,06 APR 2024,932,Evropa
3417,7.89,Fiona WILDEMANN,24 APR 2003,GER,3h9,06 JAN 2024,929,Evropa
3417,7.89,Sophie FARRELL,,IRL,2f2,06 JAN 2024,929,Evropa
3417,7.89,Martha GEERARDYN,2007,BEL,2f1,06 JAN 2024,929,Evropa
3417,7.89,Caroline VANHAMME,21 OCT 2003,BEL,3f1,06 JAN 2024,929,Evropa
3417,7.89,Solene BINI,01 OCT 2001,FRA,1h1,07 JAN 2024,929,Evropa
3417,7.89,Nadine SANTIFICETUR,12 MAR 1998,ITA,1f4,07 JAN 2024,929,Evropa
3417,7.89,Francesca MELETTO,10 FEB 2006,ITA,1f3,07 JAN 2024,929,Evropa
3417,7.89,Claudia Princess FERRARINI,04 SEP 2004,ITA,4f4,07 JAN 2024,929,Evropa
3417,7.89,Yana FOMINA,17 JUN 2007,KAZ,1h5,07 JAN 2024,929,Azija
3417,7.89,Sophia YOVANOVICH,2004,USA,4,12 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Kindal SMITH,,USA,5h1,12 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Royanah FARMER,,USA,5h2,12 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Hayley WRIGHT,2004,AUS,5h4,13 JAN 2024,929,Oceanija
3417,7.89,T'Erica BOYD,,USA,7h3,13 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Giulia MARSONI,04 NOV 2003,ITA,3h3,13 JAN 2024,929,Evropa
3417,7.89,Anna KRAB,18 MAY 1998,DEN,3f1,14 JAN 2024,929,Evropa
3417,7.89,Okwu BACKARI,25 MAR 2006,IRL,1er1,14 JAN 2024,929,Evropa
3417,7.89,Kamryn ROSS,,USA,2h2,18 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Hameed TAMIA,,USA,6h1,19 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Maya SHINNICK,,USA,2h2,19 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Matayah YELLOWMULE,,USA,5h3,20 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Maria JAROSIŃSKA,25 NOV 2006,POL,1h3,20 JAN 2024,929,Evropa
3417,7.89,Virág  SIMON,13 MAR 2002,HUN,3f2,20 JAN 2024,929,Evropa
3417,7.89,Ana SLUGA,2007,SLO,1h8,20 JAN 2024,929,Evropa
3417,7.89,Sophie CHESHIRE,19 DEC 2006,AUS,7f1,20 JAN 2024,929,Oceanija
3417,7.89,Cynthia MIANZAKE,2007,FRA,3f1,20 JAN 2024,929,Evropa
3417,7.89,Celia GALLEY,2007,FRA,2h1,21 JAN 2024,929,Evropa
3417,7.89,Sina EHRHARDT,25 OCT 2005,GER,3,21 JAN 2024,929,Evropa
3417,7.89,Sveva TEMPORIN,05 JAN 2003,ITA,1f3,21 JAN 2024,929,Evropa
3417,7.89,Fee SEVENO,17 MAY 2004,FRA,4f1,21 JAN 2024,929,Evropa
3417,7.89,Katarzyna POTOK,20 JUN 2006,POL,4,24 JAN 2024,929,Evropa
3417,7.89,Niobe HIOLDER,,BAR,1h3,26 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Ruby NWOSU,,USA,3pr1,26 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Jordyn DORTCH,,USA,4pr2,26 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Talia PALMER,,USA,2h8,26 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Míra KŐSZEGI,30 MAY 2002,HUN,1h2,27 JAN 2024,929,Evropa
3417,7.89,Katjuša JORDAN NADIŽAR,28 MAR 2005,SLO,2h2,27 JAN 2024,929,Evropa
3417,7.89,Franziska BLESSIN,09 JAN 2004,GER,8,27 JAN 2024,929,Evropa
3417,7.89,Blessing Esther AGUDA,01 APR 2003,NGR,7,27 JAN 2024,944,Afrika
3417,7.89,Zani MEADERS,,USA,5f5,27 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Danaya KINNARD,,USA,2f8,27 JAN 2024,929,Severna in Srednja Amerika
3417,7.89,Polina VASENKINA,25 FEB 2007,RUS,3h8,29 JAN 2024,929,Evropa
3417,7.89,Ellen Ingrid AADAMSOO,13 JAN 2008,EST,1,01 FEB 2024,929,Evropa
3417,7.89,Allison VALLADAY,,USA,2h4,02 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Barbora KŘÍŽOVÁ,30 JUN 2005,CZE,1f1,03 FEB 2024,929,Evropa
3417,7.89,Gabriela TOBOLOVÁ,2006,CZE,6f1,03 FEB 2024,929,Evropa
3417,7.89,Ava FITZGERALD,,USA,3h5,03 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Airu SATAKE,14 OCT 2007,JPN,5h1,03 FEB 2024,929,Azija
3417,7.89,Rio SATO,11 APR 2007,JPN,3h2,03 FEB 2024,929,Azija
3417,7.89,Zoe DOEHRING,2006,GER,2h2,03 FEB 2024,929,Evropa
3417,7.89,Oceane CADET,2001,FRA,6f2,03 FEB 2024,929,Evropa
3417,7.89,Mara FÜRNIß,29 AUG 2005,GER,5h3,03 FEB 2024,929,Evropa
3417,7.89,Ashley BENTON,,USA,3h2,03 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Morgan RHETT,2001,USA,5f4,03 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Noelle BERGER,15 DEC 2003,SUI,7h1,04 FEB 2024,929,Evropa
3417,7.89,Nehir SÖNMEZ,2005,GER,1f2,04 FEB 2024,929,Evropa
3417,7.89,Kira ROSCHER,1998,GER,1f2,04 FEB 2024,929,Evropa
3417,7.89,Lara PINTO,10 APR 2006,POR,1h1,07 FEB 2024,929,Evropa
3417,7.89,Anastasiya ANDREYEVA,11 JAN 2002,RUS,7h,08 FEB 2024,929,Evropa
3417,7.89,Alexis PARCHMAN,,USA,4h2,09 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Daiza JONES,,USA,6pr6,09 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Lilje LOPES PATEY,15 FEB 2007,NOR,2,09 FEB 2024,929,Evropa
3417,7.89,Rose BASU,2005,CAN,4f1,09 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Orchid CONCHA,,USA,3h3,09 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Anna VAYTALOVA,17 MAR 2003,RUS,3h5,09 FEB 2024,929,Evropa
3417,7.89,Milena IVANOVA,09 SEP 2003,RUS,6h7,09 FEB 2024,929,Evropa
3417,7.89,Syriah BURKS,,USA,5h5,09 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Khamaya CAWLEY,2002,CAN,6h2,10 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Destinee WRAY,2003,CAN,3h1,10 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Maren HIGUERO,12 AUG 2009,ESP,1,10 FEB 2024,929,Evropa
3417,7.89,Noora JUSLIN,14 NOV 1999,FIN,3h2,10 FEB 2024,929,Evropa
3417,7.89,Eva CLECH,26 OCT 2001,FRA,5er3,10 FEB 2024,929,Evropa
3417,7.89,Małgorzata LUBIATOWSKA,19 JAN 2005,POL,5f2,10 FEB 2024,929,Evropa
3417,7.89,Shyanne CARRIGAN,,USA,2h2,10 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Grace MCCOLLIN,,GBR,4h1,10 FEB 2024,929,Evropa
3417,7.89,Caitlin HANCOCK,,GBR,5h1,10 FEB 2024,929,Evropa
3417,7.89,Honor OTENG,,GBR,3h2,10 FEB 2024,929,Evropa
3417,7.89,Jolana MITYSKOVÁ,2007,CZE,1f2,11 FEB 2024,929,Evropa
3417,7.89,Eva NICOLLE,23 FEB 2003,FRA,1h4,11 FEB 2024,929,Evropa
3417,7.89,Ines BENYEKKOU,1996,FRA,4f2,11 FEB 2024,929,Evropa
3417,7.89,Viky BOUGUI,2008,FRA,1f1,11 FEB 2024,929,Evropa
3417,7.89,Favour ONYAH,12 JUL 2006,NGR,4h8,16 FEB 2024,929,Afrika
3417,7.89,Alina BUYUKLI,26 NOV 2006,RUS,6sf3,16 FEB 2024,929,Evropa
3417,7.89,Monika DOUBKOVÁ,12 SEP 2000,CZE,7h1,17 FEB 2024,929,Evropa
3417,7.89,Snizhana DZHYCHKO,09 SEP 2006,UKR,2h3,17 FEB 2024,929,Evropa
3417,7.89,Janna DOUMPAS,30 JUN 2001,NED,6h2,17 FEB 2024,929,Evropa
3417,7.89,Gwen REUVER,28 MAR 1999,NED,7h2,17 FEB 2024,929,Evropa
3417,7.89,Sidonie COURBOT,11 JUN 2005,FRA,2f2,17 FEB 2024,929,Evropa
3417,7.89,Theodosia STEFANIDI,25 AUG 2005,GRE,3h2,17 FEB 2024,929,Evropa
3417,7.89,Nuchwara INTHASIT,,USA,2h2,18 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Anna VIDOLOVA,28 JAN 2008,BUL,4h2,23 FEB 2024,929,Evropa
3417,7.89,Daria ZHDANIUK,26 MAY 2003,UKR,2h1,23 FEB 2024,929,Evropa
3417,7.89,Kierra MARSHALL,,USA,6h4,23 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Anna SHUTKINA,22 JAN 1999,RUS,4h8,23 FEB 2024,929,Evropa
3417,7.89,Nicole DAVIS,2000,CAN,6h3,24 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Aicha KALALA,08 DEC 2005,FIN,5sf2,24 FEB 2024,929,Evropa
3417,7.89,Leana STADLER,18 APR 2008,SUI,3f2,24 FEB 2024,929,Evropa
3417,7.89,Jara RUIZ,23 JUL 2006,ESP,1,24 FEB 2024,929,Evropa
3417,7.89,Ailliyah REESE,,USA,5h2,24 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Jianna FAIRFAX,,USA,3h2,24 FEB 2024,929,Severna in Srednja Amerika
3417,7.89,Amy Bell GREBEČI,2008,SVK,2h4,25 FEB 2024,929,Evropa
3417,7.89,Wenli ZHAO,15 MAY 2006,CHN,5h3,27 FEB 2024,929,Azija
3417,7.89,Qiudan GONG,13 JUL 2003,CHN,5h11,27 FEB 2024,929,Azija
3417,7.89,Kristina GURSKAYA,22 NOV 1996,RUS,3h,28 FEB 2024,929,Evropa
3417,7.89,Elizabeth OKEMAKINDE,2009,CAN,1f1,01 MAR 2024,929,Severna in Srednja Amerika
3417,7.89,Mandy MASON,1967,AUS,6f1,01 MAR 2024,930,Oceanija
3417,7.89,Alisa MURATOVA,28 AUG 2006,RUS,2,02 MAR 2024,929,Evropa
3417,7.89,Darya OVCHINNIKOVA,11 APR 2006,RUS,3,02 MAR 2024,929,Evropa
3417,7.89,Lin ZHANG,16 JAN 2000,CHN,1h7,03 MAR 2024,929,Azija
3417,7.89,Arima TURNER,,USA,6h4,09 MAR 2024,929,Severna in Srednja Amerika
3417,7.89,Wen LUO,07 FEB 2005,CHN,3h1,16 MAR 2024,929,Azija
3417,7.89,Rachel AFARI,,IRL,4,06 APR 2024,929,Evropa
3417,7.89,Karla ŽILIĆ,07 JAN 2010,CRO,1f3,25 MAY 2024,929,Evropa
3417,7.89,Ana ČAKAN,29 MAY 2009,SRB,2,25 MAY 2024,936,Evropa
3417,7.89,Vanesa KRÝSLOVÁ,2009,CZE,2f1,22 JUN 2024,929,Evropa
3532,7.9,Manel BENKACI,08 FEB 1997,ALG,4h1,06 JAN 2024,926,Afrika
3532,7.9,Maja KOSTANJEVEC,2006,SLO,1h1,07 JAN 2024,926,Evropa
3532,7.9,Carlia TACITA-SEPHO,31 MAR 2002,FRA,2h6,07 JAN 2024,926,Evropa
3532,7.9,Giulia DI BENEDETTO,05 APR 2005,ITA,3f3,07 JAN 2024,926,Evropa
3532,7.9,Nia MAYE,,USA,4h1,12 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Quincy SIMON,2005,USA,3h3,12 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Kayla MEYERS,,USA,3h4,12 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Endya SCOTT,,USA,6h2,12 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Nauti'ka ROBINSON,,USA,5h2,12 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Moyinoluwa OLUWASIKUN,2007,CAN,3,13 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Kayedel SMITH,21 APR 2006,AUS,4f1,13 JAN 2024,926,Oceanija
3532,7.9,Denisa TOPLER,02 SEP 2003,SLO,4f1,13 JAN 2024,926,Evropa
3532,7.9,Lea Maria KLEMM,2001,AUT,1,13 JAN 2024,926,Evropa
3532,7.9,Dominique VENINGA,18 MAY 1997,NED,3f2,13 JAN 2024,926,Evropa
3532,7.9,Rita MANFREDINI,03 MAY 2008,ITA,2h3,13 JAN 2024,926,Evropa
3532,7.9,Jessy Osayamwen IFA UWADIAE,21 OCT 2004,ITA,2h5,13 JAN 2024,926,Evropa
3532,7.9,Ella BICKERDYKE,,GBR,5,13 JAN 2024,926,Evropa
3532,7.9,Bronwyn MOONEY,2004,GBR,5h2,13 JAN 2024,926,Evropa
3532,7.9,Marta CHIAROTTO,16 OCT 2000,ITA,2f3,13 JAN 2024,926,Evropa
3532,7.9,Desola Madelaine OKI,14 JUL 1999,ITA,6h2,13 JAN 2024,926,Evropa
3532,7.9,Federica POSER,22 SEP 2007,ITA,5h3,13 JAN 2024,926,Evropa
3532,7.9,Charlotte SANA,21 MAR 2003,ITA,4h27,14 JAN 2024,926,Evropa
3532,7.9,Elsa GIAMPAOLINO,05 SEP 2008,ITA,1h16,14 JAN 2024,926,Evropa
3532,7.9,Vanessa MICHALUK,30 DEC 2008,POL,1f2,14 JAN 2024,926,Evropa
3532,7.9,Jordyn BAXTER,2005,USA,7h2,19 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Mahkaia LEE,,USA,6h4,19 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Taylor RIOUX,,USA,4h3,19 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Ella ALVELIN MALM,31 MAY 2008,SWE,1h1,20 JAN 2024,926,Evropa
3532,7.9,Aleksandra PRZYBYLSKA,23 SEP 2008,POL,1f2,20 JAN 2024,926,Evropa
3532,7.9,Emelia DART,26 DEC 2004,AUS,8f1,20 JAN 2024,926,Oceanija
3532,7.9,Maila Rouki BUDACK,2009,GER,1f2,20 JAN 2024,926,Evropa
3532,7.9,Anita ALDROVANDI,20 MAY 2008,ITA,3f1,20 JAN 2024,926,Evropa
3532,7.9,Lisa BONA,27 JUL 2002,ITA,1f2,20 JAN 2024,926,Evropa
3532,7.9,Derly BOTCAZOU,24 OCT 1998,FRA,1h3,20 JAN 2024,926,Evropa
3532,7.9,Carita KIVIMÄKI,09 OCT 2005,FIN,5h5,21 JAN 2024,926,Evropa
3532,7.9,Kimberly OGBUANU,2009,GER,2f2,21 JAN 2024,926,Evropa
3532,7.9,Claudia SCARPONI,30 JUN 2005,ITA,3f3,21 JAN 2024,926,Evropa
3532,7.9,Maryem KHALIL,12 SEP 2007,ITA,1f4,21 JAN 2024,926,Evropa
3532,7.9,Georgia HEWITT,,GBR,4,21 JAN 2024,926,Evropa
3532,7.9,Grainne KENNEDY,,IRL,3,25 JAN 2024,926,Evropa
3532,7.9,Jenna BOUYER,,USA,6h6,26 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Morgan PRUITT,,USA,7h6,26 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Kayla WATSON,,USA,2pr3,26 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Glenquioa HARDY,,USA,4h12,26 JAN 2024,926,Severna in Srednja Amerika
3532,7.9,Jonna LINDEÉN,28 FEB 1996,SWE,3h4,27 JAN 2024,926,Evropa
3532,7.9,Beatrice MORGAN,,GBR,2h2,27 JAN 2024,926,Evropa
3532,7.9,Mimi Liza NÉMETH,08 FEB 2008,HUN,1f2,27 JAN 2024,926,Evropa
3532,7.9,Antonia PERUŠKO,13 OCT 2006,CRO,2h2,27 JAN 2024,926,Evropa
3532,7.9,Eni KUSKE,2007,GER,1h4,27 JAN 2024,926,Evropa
3532,7.9,Carolina MAIO,09 APR 2003,POR,2f2,28 JAN 2024,926,Evropa
3532,7.9,Emma VERHULST,1999,BEL,4h2,28 JAN 2024,926,Evropa
3532,7.9,Andrea ARMSTRONG,,USA,4f3,02 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Jordan YANDERS,,USA,6h2,02 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Holly ASLIN,,GBR,2f2,03 FEB 2024,926,Evropa
3532,7.9,Carlota PELAZ,10 NOV 2006,ESP,6f1,03 FEB 2024,926,Evropa
3532,7.9,Ainara QUINTANA,16 DEC 2003,ESP,8h3,03 FEB 2024,926,Evropa
3532,7.9,Sofia COVADONGA,04 JUL 2004,ESP,8h4,03 FEB 2024,926,Evropa
3532,7.9,Nana MATSUMURA,04 SEP 2007,JPN,6h1,03 FEB 2024,926,Azija
3532,7.9,Lucia FIUMANA,17 JAN 2000,ITA,2f3,03 FEB 2024,926,Evropa
3532,7.9,Maja ŠTEVANJA,20 JAN 2004,CRO,1h1,03 FEB 2024,926,Evropa
3532,7.9,Isabella ROSSI,09 JAN 2006,ESP,2h3,04 FEB 2024,926,Evropa
3532,7.9,Bianca HERCIGONJA,15 SEP 2002,SUI,3h2,04 FEB 2024,926,Evropa
3532,7.9,Makiah PARKER,2005,USA,1h4,04 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Noemie KAPINGA,29 APR 2002,FRA,2f2,04 FEB 2024,926,Evropa
3532,7.9,Lili ENYEDI,30 AUG 2009,HUN,1f1,04 FEB 2024,926,Evropa
3532,7.9,Andrea SAVOVA,04 OCT 2000,BUL,2f2,04 FEB 2024,926,Evropa
3532,7.9,Joane BESSEDE,13 MAY 2003,FRA,4h5,08 FEB 2024,926,Evropa
3532,7.9,Leah GRAY,,USA,4h2,09 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Jainaba CONTEH,,USA,1f3,09 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Kamille BOYD,,USA,7pr1,09 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Kamari SHERWOOD,,USA,5pr10,09 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Anna CHISTOVA,07 APR 2003,RUS,6h1,09 FEB 2024,926,Evropa
3532,7.9,Macey MORRIS,12 FEB 2003,GBR,3h6,09 FEB 2024,926,Evropa
3532,7.9,Journee MAYFIELD,2005,USA,3h6,09 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Johanna LOKOTAR,07 JAN 2007,EST,2f1,10 FEB 2024,926,Evropa
3532,7.9,Reagan LOVELL,2008,CAN,1h2,10 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Shevi Anne Damoya SHIMM,2007,JAM,3,10 FEB 2024,951,Severna in Srednja Amerika
3532,7.9,Caroline Marie VIOLE,2008,GER,2sf3,10 FEB 2024,926,Evropa
3532,7.9,Viola PEROTTI,14 NOV 2007,ITA,6sf3,10 FEB 2024,926,Evropa
3532,7.9,Oliwia PŁONKA,25 FEB 2006,POL,6f2,10 FEB 2024,926,Evropa
3532,7.9,Michaela BLANCK,1999,GER,2h4,10 FEB 2024,926,Evropa
3532,7.9,Avril SOULIGNAC-BARE,31 AUG 2006,FRA,2f2,11 FEB 2024,926,Evropa
3532,7.9,Francesca BORSINI,12 OCT 2003,ITA,1f2,11 FEB 2024,926,Evropa
3532,7.9,Aaliyannah ANDERSON,2006,CAY,2f2,16 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Iryna NURIYEVA,18 MAR 2005,RUS,6sf1,16 FEB 2024,926,Evropa
3532,7.9,Anastasiya TKACHENKO,13 APR 2005,RUS,5sf4,16 FEB 2024,926,Evropa
3532,7.9,Karolina AFANASYEVA,12 OCT 2007,RUS,1,16 FEB 2024,926,Evropa
3532,7.9,McKenzie RESER,,USA,1,16 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Mia-Sophie KAMMERER,2008,AUT,3,17 FEB 2024,926,Evropa
3532,7.9,Klara KALTENBÖCK,2007,AUT,4,17 FEB 2024,926,Evropa
3532,7.9,Saška SOKOLOV,15 MAY 1995,SRB,5h1,17 FEB 2024,926,Evropa
3532,7.9,Pauline BIKEMBO,05 NOV 2002,FRA,1f17,17 FEB 2024,926,Evropa
3532,7.9,Eleni IAKOVAKI,15 APR 2009,GRE,3f3,17 FEB 2024,926,Evropa
3532,7.9,Ioanna-Rafailia TSERKEZI,16 JUN 2007,GRE,4h1,17 FEB 2024,926,Evropa
3532,7.9,Rebeka SZABOOVÁ,2005,SVK,2h2,17 FEB 2024,926,Evropa
3532,7.9,Paige DRAKE,,USA,5,19 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Emilee TOTH,2005,CAN,4h5,23 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Janice COLE,,USA,6h1,23 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Delaney BAHN,,USA,5h1,23 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Sophia MCHENRY,,USA,3h2,23 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Millie CLEMSON,,GBR,5sf4,23 FEB 2024,926,Evropa
3532,7.9,Camryn BATT,13 APR 2005,USA,6h1,23 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Jade JACKSON,,USA,5h3,23 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Maggie MADSEN,,USA,5h4,23 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Kateřina MAŠKOVÁ,07 JUL 2005,CZE,4h3,24 FEB 2024,926,Evropa
3532,7.9,Leonie HOENKE,2007,SUI,4f2,24 FEB 2024,926,Evropa
3532,7.9,Jeanne HEUDI,2007,FRA,3h2,24 FEB 2024,926,Evropa
3532,7.9,Martina FAGGI,13 MAY 2006,SUI,3f2,24 FEB 2024,926,Evropa
3532,7.9,Aslihan KANDİL,01 AUG 2007,TUR,3,24 FEB 2024,926,Evropa
3532,7.9,Rachel BLASKOWSKI,,USA,2h2,24 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Natalia Valentina DRAGOS,2009,ROU,1h2,24 FEB 2024,926,Evropa
3532,7.9,Lucia GASCON,12 DEC 2007,ESP,4h2,24 FEB 2024,926,Evropa
3532,7.9,Jaela PIERSON,,USA,6h1,25 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Ariel COATS,,USA,5h4,25 FEB 2024,926,Severna in Srednja Amerika
3532,7.9,Bingdan ZHU,02 NOV 2004,CHN,2h7,27 FEB 2024,926,Azija
3532,7.9,Jingyi SHI,01 JUL 2005,CHN,6h10,27 FEB 2024,926,Azija
3532,7.9,Darya NENADZIK,20 SEP 2005,BLR,2,01 MAR 2024,926,Evropa
3532,7.9,Leila WISEMAN,,USA,1h6,08 MAR 2024,926,Severna in Srednja Amerika
3532,7.9,Serine BRAKSTAD,04 OCT 2006,NOR,1h2,09 MAR 2024,926,Evropa
3532,7.9,Layla LERUS,,USA,7h10,09 MAR 2024,926,Severna in Srednja Amerika
3532,7.9,Claudia MARQUES,04 MAR 2005,ESP,6h4,09 MAR 2024,926,Evropa
3532,7.9,Zhenglin ZHOU,03 DEC 2008,CHN,2h2,16 MAR 2024,926,Azija
3532,7.9,Zara OKOROAFOR,,GBR,2h1,17 MAR 2024,926,Evropa
3532,7.9,Róise GAVIN,,IRL,5,06 APR 2024,926,Evropa
3532,7.9,Elisa MAYER,13 OCT 2001,SUI,5f3,04 MAY 2024,926,Evropa
3532,7.9,Adéla HADVIČÁKOVÁ,2010,CZE,1f1,02 JUN 2024,926,Evropa
3532,7.9,Adéla ŠOFFROVÁ,2009,CZE,3f1,22 JUN 2024,926,Evropa
3532,7.9,Tia GRLJAČ-KLANJČIĆ,21 MAY 2009,CRO,3f6,22 JUN 2024,926,Evropa
3532,7.9,Adéla MISLEROVÁ,28 APR 2004,CZE,1f1,10 AUG 2024,926,Evropa
3661,7.91,Eva AUŠRAITĖ,16 AUG 2007,LTU,2,05 JAN 2024,923,Evropa
3661,7.91,Shereese CUTLER,19 JUL 1991,USA,5h2,06 JAN 2024,923,Severna in Srednja Amerika
3661,7.91,Jade ARGYRE,2008,FRA,1h2,06 JAN 2024,923,Evropa
3661,7.91,Luca HEYVAERT,05 APR 2002,BEL,7f1,06 JAN 2024,923,Evropa
3661,7.91,Manon DE MAREZ,26 MAR 1997,BEL,2f2,06 JAN 2024,923,Evropa
3661,7.91,Karina GARAIYEVA,31 JUL 2008,RUS,4h1,07 JAN 2024,923,Evropa
3661,7.91,Ma'Liyah ANDERSON,,USA,f2,12 JAN 2024,923,Severna in Srednja Amerika
3661,7.91,Ilaha GULIYEVA,06 APR 2007,AZE,2,12 JAN 2024,923,Azija
3661,7.91,Heurjonie LEMBI BONHEUR,18 AUG 1997,BEL,2h2,13 JAN 2024,923,Evropa
3661,7.91,Alexandra RICHARDS,10 NOV 2005,AUS,4,13 JAN 2024,923,Oceanija
3661,7.91,Sarah HEALEY,25 DEC 1998,AUS,6h4,13 JAN 2024,923,Oceanija
3661,7.91,Leah THAMES,2003,USA,4h1,13 JAN 2024,923,Severna in Srednja Amerika
3661,7.91,Suzzanne PALMER,11 SEP 1993,GBR,3h3,13 JAN 2024,923,Evropa
3661,7.91,Alice ZANON,03 MAR 2006,ITA,6h3,13 JAN 2024,923,Evropa
3661,7.91,Mariasole LUI,12 OCT 2007,ITA,1h9,13 JAN 2024,923,Evropa
3661,7.91,Neja MANTELJ,2008,SLO,3h1,14 JAN 2024,923,Evropa
3661,7.91,Alessandra DE NORA,24 FEB 2007,ITA,1h4,14 JAN 2024,923,Evropa
3661,7.91,Martyna BOGUSZEWICZ,14 OCT 2005,POL,2f2,14 JAN 2024,923,Evropa
3661,7.91,Shirelle LINZY,,USA,1h1,19 JAN 2024,923,Severna in Srednja Amerika
3661,7.91,Ella AXÉN,06 FEB 2003,SWE,5h4,20 JAN 2024,923,Evropa
3661,7.91,Elodie DOUAILLAT,2007,FRA,2h3,20 JAN 2024,923,Evropa
3661,7.91,Naomi AKAKPO,17 DEC 2000,TOG,1h2,20 JAN 2024,923,Afrika
3661,7.91,Lluna MARSAL,22 OCT 2009,ESP,1f2,21 JAN 2024,923,Evropa
3661,7.91,Giulia BUCCELLA,26 AUG 2005,ITA,2f4,21 JAN 2024,923,Evropa
3661,7.91,Briyel BROWN,,USA,1f4,26 JAN 2024,923,Severna in Srednja Amerika
